number,value,datetime_start,datetime_complete,duration,params_alpha,params_gamma,params_lr,params_step_size,state
29,0.892,2024-01-31 18:19:48.872165,2024-01-31 18:49:09.483701,0 days 00:29:20.611536,0.05166151700656449,0.06559043842033278,0.00020837747845277207,752.9717406177648,COMPLETE
30,0.7046,2024-01-31 18:49:09.484251,2024-01-31 18:53:22.449955,0 days 00:04:12.965704,0.0518855446497512,0.08229125493261857,0.00010389585759173346,753.7288131038225,PRUNED
31,0.8744,2024-01-31 18:53:22.450348,2024-01-31 19:23:03.958727,0 days 00:29:41.508379,0.0571074471814884,0.06186788980433226,0.00021078556490814723,482.2860665980188,COMPLETE
32,0.9008,2024-01-31 19:23:03.959286,2024-01-31 19:53:04.145165,0 days 00:30:00.185879,0.0500410725743438,0.11878966730071269,0.0009149985008769393,561.9009978115165,COMPLETE
33,0.90925,2024-01-31 19:53:04.145742,2024-01-31 20:22:46.821507,0 days 00:29:42.675765,0.05151673003397122,0.10962742283247068,0.0009478292761817824,580.465051250897,COMPLETE
34,0.69035,2024-01-31 20:22:46.822310,2024-01-31 20:27:00.677389,0 days 00:04:13.855079,0.050413369511501396,0.11210789747663455,0.0009282267813735658,567.6962715036298,PRUNED
35,0.8655,2024-01-31 20:27:00.677790,2024-01-31 20:56:24.273751,0 days 00:29:23.595961,0.07417012829691313,0.16877385779083046,0.0010524562796527849,760.1541262461843,COMPLETE
36,0.7524,2024-01-31 20:56:24.274375,2024-01-31 21:00:37.919142,0 days 00:04:13.644767,0.05037376303580389,0.2009115121921701,0.0015946546216197173,871.516420349753,PRUNED
37,0.8003,2024-01-31 21:00:37.919524,2024-01-31 21:09:03.780074,0 days 00:08:25.860550,0.06902586908534424,0.08710569428742794,0.0008183690832458516,601.7706316713726,PRUNED
38,0.7489,2024-01-31 21:09:03.780478,2024-01-31 21:13:22.409106,0 days 00:04:18.628628,0.056441992307845475,0.10143038053508081,0.0009695776643157064,595.9660879476984,PRUNED
39,0.7187,2024-01-31 21:13:22.409501,2024-01-31 21:17:40.951730,0 days 00:04:18.542229,0.07935734330530689,0.28892621902181786,0.0018011202903123577,846.2672856154772,PRUNED
40,0.7273,2024-01-31 21:17:40.952124,2024-01-31 21:21:59.091498,0 days 00:04:18.139374,0.05806364282573978,0.07776713811812115,0.003497316082498874,933.57599271799,PRUNED
41,0.7583,2024-01-31 21:21:59.091899,2024-01-31 21:26:17.195455,0 days 00:04:18.103556,0.06385048909421254,0.06683554155323354,0.0005469746187988668,508.5844934202529,PRUNED
42,0.8946,2024-01-31 21:26:17.195852,2024-01-31 21:56:11.492521,0 days 00:29:54.296669,0.06460086774985872,0.11394116012004181,0.00045345341283895197,668.5716627755096,COMPLETE
43,0.75495,2024-01-31 21:56:11.493082,2024-01-31 22:00:24.464009,0 days 00:04:12.970927,0.05522349543385106,0.12710543475439318,0.0003937312928022796,669.7413150437343,PRUNED
44,0.84025,2024-01-31 22:00:24.464398,2024-01-31 22:17:14.715503,0 days 00:16:50.251105,0.07345854858354832,0.09968599043821959,0.0007816914643340646,581.0580391521789,PRUNED
45,0.72595,2024-01-31 22:17:14.715913,2024-01-31 22:21:25.664864,0 days 00:04:10.948951,0.0500282314836876,0.14143284026891748,0.0002905491662774027,793.4519577453023,PRUNED
46,0.80295,2024-01-31 22:21:25.665252,2024-01-31 22:29:46.121539,0 days 00:08:20.456287,0.08501779238951554,0.17377038786794624,0.0004521894543213119,1028.7545964587018,PRUNED
47,0.84875,2024-01-31 22:29:46.121925,2024-01-31 22:58:56.761534,0 days 00:29:10.639609,0.06723633455765547,0.06890916039305207,0.0007119186191742166,673.001630133199,COMPLETE
48,0.7482,2024-01-31 22:58:56.762089,2024-01-31 23:03:09.440146,0 days 00:04:12.678057,0.05616596751682949,0.043197489621926176,0.00028788933627104155,531.9877260056143,PRUNED
49,0.6978,2024-01-31 23:03:09.440553,2024-01-31 23:07:21.232741,0 days 00:04:11.792188,0.08676322100558008,0.10891614564768706,0.00015295379575523397,712.6958185266594,PRUNED
